local,ano,genero,raça,nível_ensino,rend_real_habitual
Fortaleza,2018,Mulher,Parda,Fundamental incompleto ou equivalente,"R$ 988,78"
Fortaleza,2018,Mulher,Preta,Fundamental incompleto ou equivalente,"R$ 771,50"
Fortaleza,2018,Homem,Branca,Fundamental completo ou equivalente,"R$ 1.985,15"
Fortaleza,2018,Homem,Outros,Fundamental completo ou equivalente,"R$ 2.484,96"
Fortaleza,2018,Homem,Parda,Fundamental completo ou equivalente,"R$ 1.553,73"
Fortaleza,2018,Homem,Preta,Fundamental completo ou equivalente,"R$ 1.373,60"
Fortaleza,2018,Mulher,Branca,Fundamental completo ou equivalente,"R$ 1.174,59"
Fortaleza,2018,Mulher,Outros,Fundamental completo ou equivalente,"R$ 1.240,04"
Fortaleza,2018,Mulher,Parda,Fundamental completo ou equivalente,"R$ 1.029,34"
Fortaleza,2018,Mulher,Preta,Fundamental completo ou equivalente,"R$ 1.133,58"
Fortaleza,2018,Homem,Branca,Médio incompleto ou equivalente,"R$ 1.479,26"
Fortaleza,2018,Homem,Outros,Médio incompleto ou equivalente,"R$ 2.564,08"
Fortaleza,2018,Homem,Parda,Médio incompleto ou equivalente,"R$ 1.336,48"
Fortaleza,2018,Homem,Preta,Médio incompleto ou equivalente,"R$ 1.559,96"
Fortaleza,2018,Mulher,Branca,Médio incompleto ou equivalente,"R$ 926,48"
